Nid,Title,Year,Author,Format,Who Can Use This Data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,Filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id,Projection,Datum,Entry Date,File Location,File Size
19071,Living Atlas of the World,Varies by service,<p>Esri</p>,"Online interactive maps, apps, and downloadable content.",Public,"<p><a href=""https://livingatlas.arcgis.com/en/browse/"">ArcGIS Living Atlas of the World</a></p>","<p>The ArcGIS Living Atlas of the World content falls into the following categories:</p>
 <ul>
 <li>Basemaps</li>
 <li>Imagery</li>
 <li>Boundaries</li>
 <li>People</li>
 <li>Infrastructure</li>
 <li>Environment</li>
 </ul>",<p>Additional information available with each service.</p>,Author. “Map title” [format]. Scale. “Title of the complete document or site”. Information date. URL. (The date viewed).,N/A,Internet,Boundaries||Climate||Geology||Human Environment||Physical Environment||Remote Sensing and Air Photos||Soils||Topography||Transportation||Water Resources||Portals||Pollution,Canada||USA||World,Interactive Map||Vector||Raster,,,,,,,,,
19053,Canadian Wind Energy Atlas,2004,<p>Environment and Climate Change Canada</p>,"MapInfo Interchange Format (.mif), MapInfo Data (.mid)",Public,"<p><a href=""http://www.windatlas.ca"">Environment and Climate Change Canada Wind Atlas</a></p>","<p>The Canadian Wind Energy Atlas was created as a contribution to a project hosted by the Environment Canada RPN (Recherche en Provision Numerique). The purpose of the project was to determine the average wind energy potential across the country for the purposes of wind energy development.</p>
 <p>The website has an interactive map which can be used to display Mean Wind Speed (m/s) and Mean Wind Energy (W/m<sup>2</sup>) at a height of 30, 50, or 80m. Values are expressed as a mean of 43 years of observations, and are also available seasonally (e.g. mean of all winter values only). The interactive map can also display basic geophysical layers (roughness length, topography, lakes and rivers, and land/water mask) and human geography layers (power lines, roads, and cities). The map can be exported to an image format (.jpg, e.g.)</p>
 <p>Data are also available for download in two formats: MapInfo Interchange Format (MIF) and the proprietary RPN format. MIF files can be converted to ESRI Shapefile format by using ArcCatalog. Software is provided on the website for conversion of RPN format files. Please note that the website requires a username and password to download files, and there is a 160MB/day download limit.</p>","<p>The <a href=""http://www.windatlas.ca/"">Canadian Wind Energy Atlas website</a> contains a Q&A page, description of the methodology used, as well as other useful links.</p>","<p><em>Canadian Wind Energy Atlas</em> [computer file]. Gatineau, QC: Environment Canada, 2004.</p>",N/A,Internet,Climate,Hamilton||Ontario||Canada,Interactive Map||Vector,,,,,,,,,
19115,Ottawa Vector Data Set,2007,<p>City of Ottawa</p>,Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>The files cover the urban area of the city of Ottawa. The map series was originally by the National Capital Commission and then joint with the Regional Municipality of Ottawa-Carleton, in 1999 by the RMOC only and with amalgamation in 2001 now by the City of Ottawa. No attribute data is included with the data. Also available in shapefile format are contiguous files. Files are seamless but there will be inconsistencies in coverage (edge matching) due to the difference in dates as the data was collected at different years (from City of Ottawa data description).</p>
 <p>Vector data files include roads, sidewalks, houses, buildings, vegetation and water.</p>",<p>No metadata available.</p>,"<p><em>City of Ottawa Vector Mapping</em> [computer file]. Ottawa, ON: City of Ottawa, Surveys and Mapping Branch, Information Technology Services, 2007.</p>",N/A,Library,Boundaries||Human Environment||Physical Environment||Topography||Transportation||Water Resources,Ontario,Vector,https://library.mcmaster.ca/sites/default/files/geospatial/ottawa2007demo1.jpg,Ottawa 2007,Ottawa 2007,,NAD 1983 UTM Zone 18N,NAD83,,"This data is available through the Library's GIS Services, contact libgis@mcmaster.ca.",
19134,Toronto (City of Toronto) Digital Orthophotos - 1999,1999,<p>Land Information Toronto</p>,"MrSID, GeoTIFF",McMaster Students / Staff / Faculty only,,"<p>These images were flown in 1999 and were provided to the Library by Land Information Toronto. They provide coverage for the entire City of Toronto, with some overlap into surrounding areas. Originally created as 165 separate TIFF format tiles, the images have been mosaicked into a single MrSID compressed geotiff.</p>
 <p>Additional Keywords: Airphoto, Orthoimagery, True Colour Imagery.</p>
 <p>There is no index available for this file.</p>","<p>Land Information Toronto has supplied metadata by email, available at <a href=""http://library.mcmaster.ca/maps/tometa.htm"">http://library.mcmaster.ca/maps/tometa.htm</a></p>
 <p>A paper copy of the metadata document is also available in the Library.</p>","<p><em>City of Toronto Digital Orthophotos</em>[digital photograph]. Toronto ON: Land Information Toronto, 1999.</p>",N/A,Library,Remote Sensing and Air Photos,Ontario,Raster,,,,,3-degree Transverse Mercator (3TM),NAD27,,"This data is available through the Library's GIS Services, contact libgis@mcmaster.ca.",
19064,Daily 10km Gridded Climate Dataset,1961 - 2003,<p>Agriculture and Agri-Food Canada: National Land and Water Information Service</p>,ASCII text,McMaster Students / Staff / Faculty only,,"<p>This dataset contains floating point grids of daily maximum temperature (°C), minimum temperature (°C) and precipitation (mm) for the Canadian landmass south of 60°N. These grids, which are available in two file formats (text and GeoTIFF), were interpolated from daily Environment Canada climate station observations using a thin plate smoothing spline surface fitting method implemented by ANUSPLIN V4.3. There is one image for each day of the year per variable.</p>
 <p>Additional keywords associated with this dataset: continuous data, historical climate data, hydrology, spatial variation, temporal variation</p>",<p>Metadata documents are provided in PDF and HTML format on the DVDs containing the dataset.</p>,"<p><em>Daily 10 Km Gridded Climate Dataset: 1961-2003</em>. [computer file]. Version 1.0, [Ottawa]: Agriculture and Agri-Food Canada. National Land and Water Information Service, [2007]</p>",N/A,Library,Climate,Hamilton||Ontario||Canada,Raster,,,,,Albers Equal Area Conic,NAD83,,"This data is available through the Library's GIS Services, contact libgis@mcmaster.ca.",
19055,China Dimensions Data Collection,"Various, 1949-1996",<p>Socioeconomic Data and Applications Center (SEDAC)</p>,Various,Public,"<p><a href=""http://sedac.ciesin.columbia.edu/data/collection/cddc"">China Dimensions data collection</a></p>","<p>The China Dimensions Data Collection is just one of several geospatial data resources provided by the Socioeconomic Data and Applications Center (SEDAC). SEDAC is a program of the Center for International Earth Science Information Network (CIESIN) at Columbia University, and works in conjunction with NASA to <em>""develop and operate applications that support the integration of socioeconomic and Earth science data and to serve as an Information Gateway between the Earth and social sciences.</em>""</p>
 <p>China Dimensions contains several different socioeconomic datasets. These include: <strong>administrative boundaries</strong> (including Provincial and County level boundaries), <strong>""fundamental"" maps</strong>, (including layers for roads, railroads, drainage systems, contours, populated places, and urbanized areas), <strong>population and public health</strong> (including county level census data, rural agricultural statistics, and a hospitals dataset), <strong>economics </strong>(including an ""Economic Yearbook"" contains many economic attributes such as wage, employment, finance, livelihood, and many others) and <strong>public policy</strong> documentation, describing priority programmes covering the areas of legislation, policies, education, agriculture, environment, energy, etc.</p>
 <p>Users are required to login to the SEDAC website in order to download the data.</p>","<p>Each data listing on the SEDAC website includes a documentation and metadata tab with links to additional documentation. ""Readme.txt"" documents are often provided alongside the datasets via FTP, some of which provide links to websites containing additional information.</p>","<p><em>Database Name</em> [type of medium]. (Year). Producer location, province/state: Producer name. Available FTP: address/path/file [Access date].</p>
 <p>Example: <em>Fundamental GIS: Digital Chart of China</em> [computer file]. (1990). Palisades, NY: SEDAC. Available FTP: http://sedac.ciesin.org/data/set/cddc-china-dcw-gis/data-download [Jan. 13, 2010]</p>",N/A,Internet,Boundaries||Human Environment||Portals,World,Vector,https://library.mcmaster.ca/sites/default/files/geospatial/hptop.gif,,,,Lambert Conformal Conic,,,,
19112,Ontario Basic Mapping (OBM),2003,<p>Ontario Ministry of Natural Resources</p>,"Shapefile (.shp), AutoCAD (.dxf, .dwg), Microstation design files (.dgn)",Public,"<p><a href=""http://www.geographynetwork.ca/website/obm/viewer.htm"">Ontario Basic Mapping (OBM)</a></p>","<p>Data provided by Land Information Ontario, Ontario Geospatial Data Exchange (OGDE).</p>
 <p>This dataset includes municipal boundaries, lots and concessions, polygons for large building outlines, points for houses; contour lines and spot heights; lakes, rivers and streams; streets, highways, railways, pipelines, communications, etc. - no street names.</p>
 <p>Southern Ontario is covered at 1:10,000; Northern Ontario is covered at 1:20,000.</p>
 <p>Registration is required in order to download data.</p>","<p>Metadata is available for individual layers in the <a href=""https://geohub.lio.gov.on.ca/"">Ontario GeoHub</a>.</p>","<p><em>Dataset name</em> [computer file]. Peterborough: ON, Ministry of Natural Resources, Year.</p>",N/A,Internet,Boundaries||Human Environment||Physical Environment||Portals||Topography||Transportation||Water Resources,Hamilton||Ontario,Vector,,,,,,NAD83,,,
19058,Open Ottawa (The City of Ottawa's Open Data Catalogue),Varies by dataset,<p>City of Ottawa</p>,Various,Public,"<p>The data are available at the following link: <a href=""https://open.ottawa.ca/"">Open Ottawa</a></p>","<p>The site includes data and interactive maps for a variety of categories including:</p>
 <ul>
 <li>Environment</li>
 <li>Transportation</li>
 <li>Transportation</li>
 <li>Parks & Recreation</li>
 <li>Infrastructure</li>
 <li>Health & Safety</li>
 <li>City Hall & Local Government</li>
 <li>Business & Finance</li>
 <li>Arts & Culture</li>
 </ul>",<p>Metadata available with each dataset.</p>,"<p><em>Dataset Name</em> [type of medium]. (Year). Producer location, province/state: Producer name. Available online: address/path/file [Access date].</p>
 <p>Example:</p>
 <p><em>Wards 2014</em> [computer file]. (2014). Ottawa, Ontario: City of Ottawa. Available online: http://data.ottawa.ca/dataset/wards-2014 [29/04/2017].</p>",N/A,Internet,Boundaries||Human Environment||Topography||Transportation||Portals,Ontario||Canada,Interactive Map||Vector,,,,,Custom Ottawa Transverse Mercator Projection,NAD83,,,
19069,Electoral Districts and Polling Divisions (Ontario),Current,<p>Elections Ontario</p>,"Shapefile (.shp), Microsoft Excel (.xls)",Public,"<p><a href=""https://www.elections.on.ca/content/ngw/en/voting-in-ontario/electoral-districts.html"">Electoral District Maps and Information</a></p>","<p>This dataset contains electoral districts and polling divisions for the Province of Ontario. Official election and by-election results, including voter turnout, are provided in Excel (.xls) format through the <a href=""https://www.elections.on.ca/content/ngw/en/resource-centre/elections-results.html"">Election Results</a> page of the same website.</p>
 <p>Please note that as of 2005, Ontario's provincial electoral districts are not necessarily identical to the federal electoral districts. As of the October 10, 2007 provincial general election, Ontario is divided into 107 electoral districts, consisting of 11 ""northern"" districts and 96 ""southern"" districts. Also available from this website are detailed maps of each individual electoral district.</p>
 <p>Additional keywords associated with this dataset: poll boundaries, election</p>",<p>No metadata is available.</p>,"<p><em>Electoral Districts and Polling Divisions</em> [computer file]. Toronto, Ontario: Elections Ontario, 2007.</p>",N/A,Internet,Boundaries,Hamilton||Ontario,Vector,https://library.mcmaster.ca/sites/default/files/geospatial/elections.jpg,elections.jpeg,Map of electoral districts Hamilton,,Lambert Conformal Conic,NAD83,,,
19070,Enhanced Water and Sewer Data for The City of Hamilton,"2008, 2010, 2024",<p>City of Hamilton</p>,Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>The enhanced water and sewer data for the City of Hamilton contains shapefiles for sewer mains, manholes, and nodes, as well as water hydrants, water mains, water nodes, and valves.</p>
<p>Enhanced attributes not included in the <a href=""https://library.mcmaster.ca/maps/geospatial/hamilton-vector-data-set"">standard vector dataset</a> are installation date, sewer type, manhole depth, slope of sewer, diameter of watermain, diameter of sewer, length of sewer, and length of watermain.</p>
 <h3>Request data</h3>
<p><i>This data is available to current McMaster students, staff, and faculty.</i> </p>
<p>To request this data, please fill out the <a href=""https://mcmaster-ca.libwizard.com/f/hamilton_geodata"">Data Use Agreement</a>.</p>",<p>No metadata available</p>,"<p><em>Enhanced Water and Sewer Data</em> [computer file]. Hamilton, Ontario: The City of Hamilton, Department of Planning and Economic Development, GIS-Planning and Analysis [2024].</p>",N/A,Library,Human Environment||Water Resources,Hamilton,Vector,,,,,NAD 1983 UTM Zone 17N,NAD83,,"This data is available through the Library's GIS Services, contact libgis@mcmaster.ca.",
